ZCTA,Total_Population,Total_Area_sqmi,Density_sqmi,Poverty_rate
19102,5042,0.189,26677,12.9
19103,22940,0.639,35900,10.8
19104,55205,3.013,18322,46.1
19106,12045,0.803,15000,7.1
19107,13832,0.549,25195,26.8
19109,0,0.003,0,-0
19111,70020,4.832,14491,19.7
19112,0,1.746,0,-0
19113,100,3.495,29,0
19114,31478,5.614,5607,9.7
19115,33832,5.611,6030,11.5
19116,34194,5.005,6832,13.1
19118,10800,3.195,3380,7.1
19119,29163,3.239,9004,11.6
19120,72376,3.404,21262,31.3
19121,31546,2.211,14268,50.2
19122,22690,1.269,17880,36
19123,15167,1.268,11961,21.1
19124,68905,4.875,14134,35.1
19125,24149,1.377,17537,18.6
19126,15982,1.143,13983,20.1
19127,6038,0.55,10978,24.1
19128,37550,7.056,5322,11.2
19129,11058,2.198,5031,21.6
19130,26100,1.294,20170,14.4
19131,44915,5.277,8511,31.3
19132,33368,2.164,15420,41.2
19133,27397,1.3,21075,56.3
19134,62861,3.508,17919,41.2
19135,33602,2.323,14465,21.1
19136,32912,4.605,7147,18.5
19137,7937,2.418,3282,15.2
19138,34614,1.723,20089,21.8
19139,44675,1.77,25240,35.1
19140,49300,3.058,16122,46.3
19141,33791,1.813,18638,30.7
19142,28238,1.686,16749,34.3
19143,65812,3.181,20689,30.1
19144,41209,3.434,12000,33
19145,46311,4.87,9509,23.3
19146,38486,1.689,22786,17.9
19147,39114,1.408,27780,11.5
19148,53440,4.223,12655,21.2
19149,59853,2.428,24651,23.5
19150,24048,1.508,15947,12.1
19151,35102,2.392,14675,20.2
19152,35626,2.822,12624,14.3
19153,13613,7.213,1887,25.1
19154,33512,6.389,5245,8
